activity_comment,n,pct
887797,3,0.01
659771,3,0.01
830429,3,0.01
659711,3,0.01
988035,3,0.01
659715,3,0.01
830431,3,0.01
659719,3,0.01
887799,3,0.01
659723,3,0.01
830433,3,0.01
659791,3,0.01
971741,3,0.01
659795,3,0.01
830435,3,0.01
659799,3,0.01
887769,3,0.01
659803,3,0.01
830405,3,0.01
659743,3,0.01
1062291,3,0.01
659747,3,0.01
830407,3,0.01
659751,3,0.01
887771,3,0.01
659755,3,0.01
830409,3,0.01
659823,3,0.01
971743,3,0.01
659827,3,0.01
830411,3,0.01
659831,3,0.01
887773,3,0.01
659835,3,0.01
830445,3,0.01
659775,3,0.01
1059712,3,0.01
659779,3,0.01
830447,3,0.01
659783,3,0.01
887775,3,0.01
659787,3,0.01
830449,3,0.01
659855,3,0.01
971745,3,0.01
659859,3,0.01
830451,3,0.01
659863,3,0.01
911955,3,0.01
659867,3,0.01
830421,3,0.01
659807,3,0.01
1062279,3,0.01
659811,3,0.01
830423,3,0.01
659815,3,0.01
911957,3,0.01
659819,3,0.01
830425,3,0.01
659887,3,0.01
971747,3,0.01
659891,3,0.01
830427,3,0.01
659895,3,0.01
911959,3,0.01
659899,3,0.01
830616,3,0.01
659839,3,0.01
1059714,3,0.01
659843,3,0.01
830618,3,0.01
659847,3,0.01
923605,3,0.01
659851,3,0.01
830620,3,0.01
659919,3,0.01
971781,3,0.01
659923,3,0.01
830622,3,0.01
659927,3,0.01
887785,3,0.01
659931,3,0.01
830437,3,0.01
659871,3,0.01
1062303,3,0.01
1062294,3,0.01
1275135,3,0.01
1275134,3,0.01
830440,3,0.01
1273878,3,0.01
1062304,3,0.01
1273882,3,0.01
887788,3,0.01
1273886,3,0.01
1275130,3,0.01
1273840,3,0.01
830631,3,0.01
1273852,3,0.01
659965,3,0.01
1273864,3,0.01
971784,3,0.01
1273870,3,0.01
659909,3,0.01
1273792,3,0.01
830635,3,0.01
1273804,3,0.01
659981,3,0.01
1273816,3,0.01
923614,3,0.01
1273828,3,0.01
